"","nation","hospitalized_with_symptoms","intensive_care","hospitalized_total","home_isolation","positives_remaining","num_positives_variation","new_positives","total_discharged_healed","total_deceased","total_cases","tests","notes_it","notes_en","dt","total_cases_delta","intensive_care_delta","hospitalized_with_symptoms_delta","home_isolation_delta","total_discharged_healed_delta","total_deceased_delta","tests_delta","new_positives_delta","positives_remaining_delta","hospitalized_total_delta","tests_per_new_positives","total_tests_per_cases_ratio","positives_remaining_previous","positives_remaining_percent_delta","deceased_per_positives_day_before_ratio","discharged_healed_per_positives_day_before_ratio"
"1","ITA",101,26,127,94,221,0,221,1,7,229,4324,"","",2020-02-24,0,0,0,0,0,0,0,0,0,0,0,18.882096069869,221,0,0,0
"2","ITA",114,35,150,162,311,90,93,1,10,322,8623,"","",2020-02-25,93,9,13,68,0,3,4299,-128,90,22,46.2258064516129,26.7795031055901,221,40.7239819004525,1.35746606334842,0
"3","ITA",128,36,164,221,385,74,78,3,12,400,9587,"","",2020-02-26,78,1,14,59,2,2,964,-15,74,15,12.3589743589744,23.9675,311,23.7942122186495,0.643086816720257,0.643086816720257
"4","ITA",248,56,304,284,588,203,250,45,17,650,12014,"","",2020-02-27,250,20,120,63,42,5,2427,172,203,140,9.708,18.4830769230769,385,52.7272727272727,1.2987012987013,10.9090909090909
"5","ITA",345,64,409,412,821,233,238,46,21,888,15695,"","",2020-02-28,238,8,97,128,1,4,3681,-12,233,105,15.4663865546218,17.6745495495495,588,39.6258503401361,0.680272108843537,0.170068027210884
"6","ITA",401,105,506,543,1049,228,240,50,29,1128,18661,"","",2020-02-29,240,41,56,131,4,8,2966,2,228,97,12.3583333333333,16.5434397163121,821,27.7710109622412,0.97442143727162,0.48721071863581
"7","ITA",639,140,779,798,1577,528,566,83,34,1694,21127,"","",2020-03-01,566,35,238,255,33,5,2466,326,528,273,4.35689045936396,12.4716646989374,1049,50.3336510962822,0.476644423260248,3.14585319351764
"8","ITA",742,166,908,927,1835,258,342,149,52,2036,23345,"","",2020-03-02,342,26,103,129,66,18,2218,-224,258,129,6.48538011695906,11.4661100196464,1577,16.3601775523145,1.14140773620799,4.1851616994293
"9","ITA",1034,229,1263,1000,2263,428,466,160,79,2502,25856,"","",2020-03-03,466,63,292,73,11,27,2511,124,428,355,5.38841201716738,10.3341326938449,1835,23.3242506811989,1.47138964577657,0.599455040871935
"10","ITA",1346,295,1641,1065,2706,443,587,276,107,3089,29837,"","",2020-03-04,587,66,312,65,116,28,3981,121,443,378,6.78194207836457,9.65911298154743,2263,19.5757843570482,1.23729562527618,5.12593901900133
"11","ITA",1790,351,2141,1155,3296,590,769,414,148,3858,32362,"","",2020-03-05,769,56,444,90,138,41,2525,182,590,500,3.28348504551365,8.38828408501814,2706,21.8033998521803,1.51515151515152,5.09977827050998
"12","ITA",2394,462,2856,1060,3916,620,778,523,197,4636,36359,"","",2020-03-06,778,111,604,-95,109,49,3997,9,620,715,5.13753213367609,7.84275237273512,3296,18.8106796116505,1.48665048543689,3.30703883495146
"13","ITA",2651,567,3218,1843,5061,1145,1247,589,233,5883,42062,"pd-IT-0003","pd-EN-0003",2020-03-07,1247,105,257,783,66,36,5703,469,1145,362,4.57337610264635,7.14975352711202,3916,29.2390194075587,0.919305413687436,1.68539325842697
"14","ITA",3557,650,4207,2180,6387,1326,1492,622,366,7375,49937,"","",2020-03-08,1492,83,906,337,33,133,7875,245,1326,989,5.27815013404826,6.7711186440678,5061,26.2003556609366,2.62793914246196,0.652045050385299
"15","ITA",4316,733,5049,2936,7985,1598,1797,724,463,9172,53826,"","",2020-03-09,1797,83,759,756,102,97,3889,305,1598,842,2.16416249304396,5.86851286524204,6387,25.0195710036011,1.51870987944262,1.59699389384688
"16","ITA",5038,877,5915,2599,8514,529,977,1004,631,10149,60761,"pd-IT-0005","pd-EN-0005",2020-03-10,977,144,722,-337,280,168,6935,-820,529,866,7.09825997952917,5.98689526061681,7985,6.62492172824045,2.10394489668128,3.50657482780213
"17","ITA",5838,1028,6866,3724,10590,2076,2313,1045,827,12462,73154,"nd-IT-0002","nd-EN-0002",2020-03-11,2313,151,800,1125,41,196,12393,1336,2076,951,5.3579766536965,5.87016530251966,8514,24.3833685694151,2.3020906741837,0.481559783885365
"18","ITA",6650,1153,7803,5036,12839,2249,2651,1258,1016,15113,86011,"","",2020-03-12,2651,125,812,1312,213,189,12857,338,2249,937,4.8498679743493,5.69119301263813,10590,21.2370160528801,1.78470254957507,2.01133144475921
"19","ITA",7426,1328,8754,6201,14955,2116,2547,1439,1266,17660,97488,"","",2020-03-13,2547,175,776,1165,181,250,11477,-104,2116,951,4.50608559089124,5.5202718006795,12839,16.4810343484695,1.94719214892126,1.40976711581899
"20","ITA",8372,1518,9890,7860,17750,2795,3497,1966,1441,21157,109170,"","",2020-03-14,3497,190,946,1659,527,175,11682,950,2795,1136,3.34057763797541,5.15999432811835,14955,18.6894015379472,1.17017719826145,3.52390504847877
"21","ITA",9663,1672,11335,9268,20603,2853,3590,2335,1809,24747,124899,"","",2020-03-15,3590,154,1291,1408,369,368,15729,93,2853,1445,4.38133704735376,5.04703600436417,17750,16.0732394366197,2.07323943661972,2.07887323943662
"22","ITA",11025,1851,12876,10197,23073,2470,3233,2749,2158,27980,137962,"nd-IT-0004;nd-IT-0006","nd-EN-0004;nd-EN-0006",2020-03-16,3233,179,1362,929,414,349,13063,-357,2470,1541,4.04051964120012,4.93073624017155,20603,11.9885453574722,1.69392806872786,2.00941610445081
"23","ITA",12894,2060,14954,11108,26062,2989,3526,2941,2503,31506,148657,"nd-IT-0009","nd-EN-0009",2020-03-17,3526,209,1869,911,192,345,10695,293,2989,2078,3.03318207600681,4.71837110391671,23073,12.9545356043861,1.49525419321285,0.832141464048888
"24","ITA",14363,2257,16620,12090,28710,2648,4207,4025,2978,35713,165541,"nd-IT-0012;nd-IT-0014","nd-EN-0012;nd-EN-0014",2020-03-18,4207,197,1469,982,1084,475,16884,681,2648,1666,4.01331114808652,4.63531487133537,26062,10.16038677001,1.82257693193155,4.15931240887115
"25","ITA",15757,2498,18255,14935,33190,4480,5322,4440,3405,41035,182777,"","",2020-03-19,5322,241,1394,2845,415,427,17236,1115,4480,1635,3.23863209319805,4.45417326672353,28710,15.6043190525949,1.48728665970045,1.44548937652386
"26","ITA",16020,2655,18675,19185,37860,4670,5986,5129,4032,47021,206886,"","",2020-03-20,5986,157,263,4250,689,627,24109,664,4670,420,4.02756431673906,4.39986389060207,33190,14.0705031636035,1.88912322988852,2.07592648388069
"27","ITA",17708,2857,20565,22116,42681,4821,6557,6072,4825,53578,233222,"","",2020-03-21,6557,202,1688,2931,943,793,26336,571,4821,1890,4.01647094707946,4.35294337227967,37860,12.7337559429477,2.094558901215,2.49075541468568
"28","ITA",19846,3009,22855,23783,46638,3957,5560,7024,5476,59138,258402,"","",2020-03-22,5560,152,2138,1667,952,651,25180,-997,3957,2290,4.52877697841727,4.3694747877845,42681,9.27110423841991,1.52526885499403,2.23050069117406
"29","ITA",20692,3204,23896,26522,50418,3780,4789,7432,6077,63927,275468,"","",2020-03-23,4789,195,846,2739,408,601,17066,-771,3780,1041,3.56358321152641,4.30910257011904,46638,8.10497877267464,1.2886487413697,0.874823105622025
"30","ITA",21937,3396,25333,28697,54030,3612,5249,8326,6820,69176,296964,"","",2020-03-24,5249,192,1245,2175,894,743,21496,460,3612,1437,4.09525623928367,4.29287614201457,50418,7.16410805664644,1.47368003490817,1.7731762465786
"31","ITA",23112,3489,26601,30920,57521,3491,5210,9362,7503,74386,324445,"","",2020-03-25,5210,93,1175,2223,1036,683,27481,-39,3491,1268,5.2746641074856,4.36164063130159,54030,6.46122524523413,1.26411253007588,1.91745326670368
"32","ITA",24753,3612,28365,33648,62013,4492,6153,10361,8165,80539,361060,"pd-IT-0007","pd-EN-0007",2020-03-26,6153,123,1641,2728,999,662,36615,943,4492,1764,5.95075572891273,4.48304548107128,57521,7.80932181290311,1.1508840249648,1.73675701048313
"33","ITA",26029,3732,29761,36653,66414,4401,5959,10950,9134,86498,394079,"","",2020-03-27,5959,120,1276,3005,589,969,33019,-194,4401,1396,5.54103037422386,4.55593192906194,62013,7.09689903729863,1.56257558898941,0.949800848209246
"34","ITA",26676,3856,30532,39533,70065,3651,5974,12384,10023,92472,429526,"","",2020-03-28,5974,124,647,2880,1434,889,35447,15,3651,771,5.93354536324071,4.64493035729734,66414,5.49733489926823,1.33857319239919,2.15918330472491
"35","ITA",27386,3906,31292,42588,73880,3815,5217,13030,10779,97689,454030,"pd-IT-0009","pd-EN-0009",2020-03-29,5217,50,710,3055,646,756,24504,-757,3815,760,4.69695227142036,4.64770854446253,70065,5.44494398058945,1.07899807321773,0.92200099907229
"36","ITA",27795,3981,31776,43752,75528,1648,4050,14620,11591,101739,477359,"","",2020-03-30,4050,75,409,1164,1590,812,23329,-1167,1648,484,5.76024691358025,4.6919961863199,73880,2.23064428803465,1.09907958852193,2.15213860314023
"37","ITA",28192,4023,32215,45420,77635,2107,4053,15729,12428,105792,506968,"","",2020-03-31,4053,42,397,1668,1109,837,29609,3,2107,439,7.30545275104861,4.79212038717483,75528,2.78969388835928,1.10819828408008,1.46832962609893
"38","ITA",28403,4035,32438,48134,80572,2937,4782,16847,13155,110574,541423,"","",2020-04-01,4782,12,211,2714,1118,727,34455,729,2937,223,7.20514429109159,4.8964765677284,77635,3.78308752495653,0.936433309718555,1.4400721324145
"39","ITA",28540,4053,32593,50456,83049,2477,4668,18278,13915,115242,581232,"","",2020-04-02,4668,18,137,2322,1431,760,39809,-114,2477,155,8.52806341045416,5.04357786223773,80572,3.07426897681577,0.943255721590627,1.77605123367919
"40","ITA",28741,4068,32809,52579,85388,2339,4585,19758,14681,119827,619849,"","",2020-04-03,4585,15,201,2123,1480,766,38617,-83,2339,216,8.42246455834242,5.17286588164604,83049,2.81640958951944,0.922347048128213,1.78208045852449
"41","ITA",29010,3994,33004,55270,88274,2886,4805,20996,15362,124632,657224,"","",2020-04-04,4805,-74,269,2691,1238,681,37375,220,2886,195,7.7783558792924,5.27331664420053,85388,3.3798660233288,0.79753595352977,1.44985243828173
"42","ITA",28949,3977,32926,58320,91246,2972,4316,21815,15887,128948,691461,"","",2020-04-05,4316,-17,-61,3050,819,525,34237,-489,2972,-78,7.93257645968489,5.36232434779911,88274,3.36678976822167,0.594739107778055,0.927793008133765
"43","ITA",28976,3898,32874,60313,93187,1941,3599,22837,16523,132547,721732,"","",2020-04-06,3599,-79,27,1993,1022,636,30271,-717,1941,-52,8.41094748541262,5.44510249194625,91246,2.12721653551937,0.697016855533393,1.12004909804265
"44","ITA",28718,3792,32510,61557,94067,880,3039,24392,17127,135586,755445,"","",2020-04-07,3039,-106,-258,1244,1555,604,33713,-560,880,-364,11.0934517933531,5.57170356821501,93187,0.944337729511627,0.64815907798298,1.6686876924893
"45","ITA",28485,3693,32178,63084,95262,1195,3836,26491,17669,139422,807125,"","",2020-04-08,3836,-99,-233,1527,2099,542,51680,797,1195,-332,13.4723670490094,5.78907919840484,94067,1.27037111845812,0.576185059585189,2.23138826581054
"46","ITA",28399,3605,32004,64873,96877,1615,4204,28470,18279,143626,853369,"","",2020-04-09,4204,-88,-86,1789,1979,610,46244,368,1615,-174,11,5.94160528038099,95262,1.69532447355714,0.640339274842015,2.07742856543008
"47","ITA",28242,3497,31739,66534,98273,1396,3951,30455,18849,147577,906864,"pd-IT-0011","pd-EN-0011",2020-04-10,3951,-108,-157,1661,1985,570,53495,-253,1396,-265,13.5396102252594,6.14502259837237,96877,1.44100250833531,0.588374949678458,2.04898995633639
"48","ITA",28144,3381,31525,68744,100269,1996,4694,32534,19468,152271,963473,"","",2020-04-11,4694,-116,-98,2210,2079,619,56609,743,1996,-214,12.0598636557307,6.32735714614076,98273,2.03107669451426,0.62987799293804,2.11553529453665
"49","ITA",27847,3343,31190,71063,102253,1984,4092,34211,19899,156363,1010193,"dc-IT-0003","dc-EN-0003",2020-04-12,4092,-38,-297,2319,1677,431,46720,-602,1984,-335,11.4173998044966,6.46056292089561,100269,1.97867735790723,0.429843720392145,1.67250097238429
"50","ITA",28023,3260,31283,72333,103616,1363,3153,35435,20465,159516,1046910,"","",2020-04-13,3153,-83,176,1270,1224,566,36717,-939,1363,93,11.6450999048525,6.56304069811179,102253,1.33296822587112,0.553528991814421,1.1970308939591
"51","ITA",28011,3186,31197,73094,104291,675,2972,37130,21067,162488,1073689,"","",2020-04-14,2972,-74,-12,761,1695,602,26779,-181,675,-86,9.01043068640646,6.60780488405298,103616,0.651443792464484,0.580991352686844,1.63584774552193
"52","ITA",27643,3079,30722,74696,105418,1127,2667,38092,21645,165155,1117404,"dc-IT-0005","dc-EN-0005",2020-04-15,2667,-107,-368,1602,962,578,43715,-305,1127,-475,16.3910761154856,6.76578971269414,104291,1.08063015984121,0.554218484816523,0.922419000680787
"53","ITA",26893,2936,29829,76778,106607,1189,3786,40164,22170,168941,1178403,"","",2020-04-16,3786,-143,-750,2082,2072,525,60999,1119,1189,-893,16.1117274167987,6.97523395741709,105418,1.12789087252651,0.498017416380504,1.96550873664839
"54","ITA",25786,2812,28598,78364,106962,355,3493,42727,22745,172434,1244108,"","",2020-04-17,3493,-124,-1107,1586,2563,575,65705,-293,355,-1231,18.8104780990553,7.21498080424974,106607,0.332998771187633,0.539364206853209,2.40415732550395
"55","ITA",25007,2733,27740,80031,107771,809,3491,44927,23227,175925,1305833,"","",2020-04-18,3491,-79,-779,1667,2200,482,61725,-2,809,-858,17.6811801775995,7.42266875088816,106962,0.756343374282455,0.450627325592266,2.05680522054561
